Person_id,Family_Number,Person_Number,Gender,Age,Nationality_Type,Trips_Done,Occupation_Status,License_Type
2401701,24017,1,Male,28,Saudi,Yes,Full Time Employed,Car Only
2401702,24017,2,Female,18-24,Saudi,Yes,Unemployed,No License
2342401,23424,1,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2342402,23424,2,Female,18-24,Non-Saudi Arab,Yes,House Person,Car Only
2342403,23424,3,Male,Dec-15,Saudi,Yes,Student - Primary School,No License
2342404,23424,4,Male,5,Saudi,no,Child not at nursery,No License
2342405,23424,5,Male,2,Saudi,Yes,Child not at nursery,No License
2452801,24528,1,Male,43,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2452802,24528,2,Female,38,Non-Saudi Arab,There is no flight,Unemployed,No License
2452803,24528,3,Male,23,Non-Saudi Arab,Yes,Full Time Employed,No License
2098601,20986,1,Male,54,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2098602,20986,2,Female,38,Non-Saudi Non-Arab,Yes,House Person,No License
2098603,20986,3,Male,23,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2098604,20986,4,Female,21,Non-Saudi Non-Arab,Yes,Unemployed,No License
2098605,20986,5,Male,17,Non-Saudi Non-Arab,Yes,Student - Secondary School,No License
2098606,20986,6,Male,11,Non-Saudi Non-Arab,Yes,Student - Elementary School,No License
2468601,24686,1,Male,23,Saudi,Yes,Full Time Employed,Car Only
2468602,24686,2,Female,21,Saudi,Vacation,Student - University: Full-Time (does not work),No License
2468603,24686,3,Female,18-24,Saudi,Yes,Unemployed,No License
2468604,24686,4,Female,25,Saudi,Yes,Full Time Employed,No License
2468605,24686,5,Female,55-64,Saudi,stay home,House Person,No License
2468606,24686,6,Male,14,Saudi,Yes,Student - Primary School,No License
2411101,24111,1,Male,51,Saudi,Yes,Retired,Car Only
2411102,24111,2,Female,41,Saudi,nothing,House Person,No License
2411103,24111,3,Female,23,Saudi,Yes,Full Time Employed,No License
2411104,24111,4,Female,21,Saudi,Yes,Full Time Employed,No License
2411105,24111,5,Male,18,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2411106,24111,6,Male,16,Saudi,Yes,Student - Secondary School,No License
2411107,24111,7,Male,14,Saudi,Yes,Student - Primary School,No License
2152701,21527,1,Male,55-64,Saudi,Yes,Refused to Answer,Car Only
2152702,21527,2,Female,45-54,Saudi,Yes,Refused to Answer,Car Only
2152703,21527,3,Male,25-34,Saudi,Yes,Full Time Employed,No License
2349601,23496,1,Male,40,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2349602,23496,2,Female,34,Non-Saudi Non-Arab,Yes,House Person,No License
2211801,22118,1,Male,34-44,Saudi,Yes,Full Time Employed,Car Only
2211802,22118,2,Female,34-44,Saudi,Yes,House Person,No License
2211803,22118,3,Male,Dec-15,Saudi,Yes,Student - Primary School,No License
2211804,22118,4,Female,<=5,Saudi,no,Child not at nursery,No License
2396701,23967,1,Male,26,Saudi,Yes,Full Time Employed,Car Only
2396702,23967,2,Female,52,Saudi,Yes,Full Time Employed,Car Only
2396703,23967,3,Male,22,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2352801,23528,1,Female,38,Saudi,Yes,Full Time Employed,Car Only
2352802,23528,2,Male,10,Saudi,Yes,Student - Elementary School,No License
2352803,23528,3,Female,3,Saudi,Yes,Child not at nursery,No License
2261701,22617,1,Female,34-44,Saudi,Yes,Full Time Employed,Car Only
2261702,22617,2,Female,Dec-15,Saudi,Yes,Student - Primary School,No License
2261703,22617,3,Female,06-Nov,Saudi,Yes,Student - Elementary School,No License
2437301,24373,1,Male,42,Saudi,Yes,Full Time Employed,Car Only
2437302,24373,2,Female,30,Saudi,nothing,House Person,No License
2437303,24373,3,Female,10,Saudi,Yes,Student - Elementary School,No License
2437304,24373,4,Female,8,Saudi,Yes,Student - Elementary School,No License
2437305,24373,5,Male,3,Saudi,nothing,Child not at nursery,No License
2079301,20793,1,Male,40,Saudi,Yes,Full Time Employed,Car Only
2079302,20793,2,Female,39,Saudi,Yes,House Person,No License
2079303,20793,3,Male,12,Saudi,Yes,Student - Elementary School,No License
2079304,20793,4,Male,10,Saudi,Yes,Student - Elementary School,No License
2079305,20793,5,Female,4,Saudi,Yes,Child not at nursery,No License
2194701,21947,1,Male,30,Saudi,Yes,Full Time Employed,Car Only
2194702,21947,2,Female,25,Saudi,Yes,Unemployed,No License
2194703,21947,3,Female,3,Saudi,child,Child not at nursery,No License
2229401,22294,1,Male,45-54,Saudi,Yes,Full Time Employed,Car Only
2229402,22294,2,Female,45-54,Saudi,Yes,Unemployed,Car Only
2229403,22294,3,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2379401,23794,1,Male,34,Saudi,Yes,Full Time Employed,Car Only
2379402,23794,2,Female,32,Non-Saudi Arab,Yes,House Person,No License
2379403,23794,3,Female,16-17,Saudi,Yes,Student - Secondary School,No License
2379404,23794,4,Male,06-Nov,Saudi,Yes,Student - Elementary School,No License
2379405,23794,5,Female,06-Nov,Saudi,Yes,Student - Elementary School,No License
2440401,24404,1,Male,29,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2440402,24404,2,Male,44,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2440403,24404,3,Male,28,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2382701,23827,1,Male,37,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2382702,23827,2,Female,28,Non-Saudi Arab,Yes,Unemployed,Car Only
2382703,23827,3,Female,6,Non-Saudi Arab,Yes,Student - Elementary School,No License
2382704,23827,4,Female,4,Non-Saudi Arab,Yes,Child not at nursery,No License
2329001,23290,1,Male,34-44,Saudi,Yes,Full Time Employed,Car Only
2329002,23290,2,Female,25-34,Saudi,Yes,Unemployed,Car Only
2329003,23290,3,Male,Dec-15,Saudi,Yes,Student - Primary School,No License
2329004,23290,4,Male,06-Nov,Saudi,Yes,Student - Elementary School,No License
2329005,23290,5,Female,<=5,Saudi,Don't want to go out,Child not at nursery,No License
2468401,24684,1,Male,25-34,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2468402,24684,2,Female,25-34,Non-Saudi Non-Arab,Yes,House Person,No License
2468403,24684,3,Male,1,Non-Saudi Non-Arab,child,Child not at nursery,No License
2423501,24235,1,Male,40,Saudi,Yes,Full Time Employed,Car Only
2423502,24235,2,Female,48,Saudi,Yes,Unemployed,No License
2079401,20794,1,Male,36,Saudi,Yes,Full Time Employed,No License
2079402,20794,2,Female,34,Saudi,Yes,House Person,No License
2352901,23529,1,Male,45,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2352902,23529,2,Female,40,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2243601,22436,1,Male,46,Saudi,Yes,Full Time Employed,Car Only
2243602,22436,2,Female,39,Saudi,Didn't want to go out,House Person,Car Only
2243603,22436,3,Male,9,Saudi,Yes,Student - Elementary School,No License
2243604,22436,4,Male,8,Saudi,Yes,Student - Elementary School,No License
2243605,22436,5,Female,7,Saudi,Yes,Student - Elementary School,No License
2051601,20516,1,Male,40,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2051602,20516,2,Female,36,Non-Saudi Non-Arab,Yes,House Person,No License
2051603,20516,3,Female,13,Non-Saudi Non-Arab,Yes,Student - Primary School,No License
2051604,20516,4,Male,10,Non-Saudi Non-Arab,Yes,Student - Elementary School,No License
2051605,20516,5,Male,6,Non-Saudi Non-Arab,Yes,Student - Elementary School,No License
2051606,20516,6,Male,4,Non-Saudi Non-Arab,no,Child not at nursery,No License
2194801,21948,1,Male,28,Saudi,Yes,Full Time Employed,Car Only
2194802,21948,2,Female,27,Saudi,Yes,Part Time Work (<5 hours a day),Car Only
2446501,24465,1,Male,44,Saudi,Yes,Full Time Employed,Car Only
2446502,24465,2,Female,38,Saudi,nothing,House Person,No License
2446503,24465,3,Female,22,Saudi,Yes,Student - University: Full-Time (does not work),No License
2446504,24465,4,Female,18,Saudi,Yes,Student - College: Full-Time (does not work),No License
2446505,24465,5,Male,17,Saudi,Yes,Student - Secondary School,No License
2446506,24465,6,Male,15,Saudi,Yes,Student - Primary School,No License
2446507,24465,7,Male,13,Saudi,Yes,Student - Primary School,No License
2446508,24465,8,Female,4,Saudi,no,Child not at nursery,No License
2446509,24465,9,Male,5,Saudi,no,Child not at nursery,No License
2342301,23423,1,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2425801,24258,1,Male,42,Saudi,Yes,Full Time Employed,Car Only
2425802,24258,2,Female,30,Saudi,nothing,House Person,Car Only
2425803,24258,3,Male,10,Saudi,Yes,Student - Elementary School,No License
2425804,24258,4,Female,8,Saudi,Yes,Student - Elementary School,No License
2425805,24258,5,Male,3,Saudi,He doesn't want to go out,Child not at nursery,No License
2019901,20199,1,Male,65-74,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2019902,20199,2,Female,45-54,Non-Saudi Arab,Yes,House Person,No License
2019903,20199,3,Female,Dec-15,Non-Saudi Arab,Yes,Student - Primary School,No License
2019904,20199,4,Male,06-Nov,Non-Saudi Arab,Yes,Student - Elementary School,No License
2269701,22697,1,Male,45-54,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2269702,22697,2,Female,34-44,Non-Saudi Arab,Yes,House Person,No License
2269703,22697,3,Male,15,Non-Saudi Arab,Yes,Student - Primary School,No License
2269704,22697,4,Female,10,Non-Saudi Arab,Yes,Student - Elementary School,No License
2349701,23497,1,Male,50,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2349702,23497,2,Female,50,Non-Saudi Non-Arab,There is no reason,House Person,No License
2349703,23497,3,Male,23,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2349704,23497,4,Female,2,Non-Saudi Non-Arab,no,Child not at nursery,No License
2229501,22295,1,Female,45-54,Saudi,Yes,Full Time Employed,Car Only
2229502,22295,2,Female,18-24,Saudi,Yes,Student - University: Full-Time (does not work),No License
2229503,22295,3,Female,06-Nov,Saudi,Yes,Student - Elementary School,No License
2411201,24112,1,Male,58,Saudi,nothing,Retired,Car Only
2411202,24112,2,Female,43,Saudi,nothing,House Person,No License
2411203,24112,3,Female,23,Saudi,Yes,Full Time Employed,No License
2411204,24112,4,Female,20,Saudi,nothing,House Person,No License
2411205,24112,5,Female,18,Saudi,Yes,Student - University: Full-Time (does not work),No License
2411206,24112,6,Male,14,Saudi,Yes,Student - Primary School,No License
2298001,22980,1,Male,45,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2452701,24527,1,Male,47,Saudi,Yes,Full Time Employed,Car Only
2452702,24527,2,Female,41,Saudi,nothing,Unemployed,No License
2452703,24527,3,Male,34,Saudi,nothing,Unemployed,No License
2452704,24527,4,Male,16,Saudi,Yes,Student - Secondary School,No License
2452705,24527,5,Female,14,Saudi,There are no flights,Student - Primary School,No License
2452706,24527,6,Male,12,Saudi,Yes,Student - Elementary School,No License
2452707,24527,7,Female,3,Saudi,I don't have a trip,Child not at nursery,No License
2401601,24016,1,Male,30,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2401602,24016,2,Male,28,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2468501,24685,1,Male,65-74,Saudi,old,Retired,Car Only
2468502,24685,2,Female,55-64,Saudi,Yes,House Person,Car Only
2468503,24685,3,Male,25-34,Saudi,Yes,Unemployed,Car Only
2043501,20435,1,Male,36,Saudi,Yes,Full Time Employed,Car Only
2043502,20435,2,Female,28,Saudi,Yes,Full Time Employed,No License
2043503,20435,3,Female,4,Saudi,no,Child not at nursery,No License
2043504,20435,4,Female,2,Saudi,his child with her parents,Child not at nursery,No License
2261801,22618,1,Male,41,Saudi,Yes,Full Time Employed,Car Only
2261802,22618,2,Female,34-44,Saudi,Yes,Unemployed,No License
2261803,22618,3,Male,12,Saudi,Yes,Student - Elementary School,No License
2261804,22618,4,Male,9,Saudi,Yes,Student - Elementary School,No License
2261805,22618,5,Female,4,Saudi,Yes,Child not at nursery,No License
2396101,23961,1,Male,48,Non-Saudi Arab,Yes,Self-Employed (own business),Car Only
2396102,23961,2,Male,45-54,Non-Saudi Arab,Yes,Self-Employed (own business),Light Goods Vehicle
2396103,23961,3,Male,51,Non-Saudi Arab,Yes,Unemployed,Car Only
2423701,24237,1,Male,45,Non-Saudi Arab,Yes,Unemployed,Car Only
2423702,24237,2,Female,39,Non-Saudi Arab,Yes,House Person,No License
2423703,24237,3,Male,10,Non-Saudi Arab,Yes,Student - Elementary School,No License
2415301,24153,1,Male,34-44,Non-Saudi Arab,Yes,Full Time Employed,No License
2415302,24153,2,Male,45-54,Non-Saudi Arab,Yes,Full Time Employed,No License
2415303,24153,3,Male,34-44,Non-Saudi Arab,Yes,Full Time Employed,No License
2194201,21942,1,Male,33,Saudi,Yes,Full Time Employed,Car Only
2194202,21942,2,Female,29,Saudi,Yes,House Person,No License
2194203,21942,3,Male,3,Saudi,no,Child not at nursery,No License
2353301,23533,1,Female,34-44,Non-Saudi Arab,Yes,Full Time Employed,No License
2353302,23533,2,Female,34-44,Non-Saudi Arab,Yes,Full Time Employed,No License
2328901,23289,1,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2328902,23289,2,Female,25-34,Saudi,Yes,Unemployed,No License
2328903,23289,3,Male,<=5,Saudi,Yes,Child at nursery,No License
2253301,22533,1,Male,55,Saudi,Yes,Part Time Work (<5 hours a day),Car Only
2253302,22533,2,Female,52,Saudi,Yes,House Person,No License
2253303,22533,3,Female,35,Saudi,Yes,Part Time Work (<5 hours a day),Car Only
2253304,22533,4,Male,20,Saudi,Yes,Student - College: Full-Time - Works Part-Time,Car Only
2253305,22533,5,Male,16,Saudi,Yes,Student - Secondary School,No License
2019801,20198,1,Male,45-54,Saudi,Yes,Full Time Employed,Car Only
2019802,20198,2,Female,34-44,Saudi,housewife,House Person,No License
2019803,20198,3,Male,18-24,Saudi,Yes,Student - College: Full-Time (does not work),Car Only
2019804,20198,4,Male,16-17,Saudi,Yes,Student - Secondary School,No License
2019805,20198,5,Male,Dec-15,Saudi,Yes,Student - Primary School,No License
2440501,24405,1,Male,36,Saudi,Yes,Full Time Employed,Car Only
2440502,24405,2,Female,32,Saudi,Yes,Unemployed,No License
2440503,24405,3,Female,5,Saudi,no,Child not at nursery,No License
2440504,24405,4,Male,3,Saudi,no,Child not at nursery,No License
2440505,24405,5,Female,1,Saudi,Incubation,Child not at nursery,No License
2149101,21491,1,Male,65-74,Saudi,Yes,Refused to Answer,Car Only
2149102,21491,2,Female,55-64,Saudi,sick,House Person,No License
2149103,21491,3,Female,34-44,Saudi,Yes,Full Time Employed,No License
2149104,21491,4,Female,34-44,Saudi,Yes,Full Time Employed,Car Only
2342201,23422,1,Male,55-64,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2468801,24688,1,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2468802,24688,2,Female,25-34,Saudi,Taking care of the kids,House Person,Car Only
2468803,24688,3,Female,<=5,Saudi,no,Child not at nursery,No License
2468804,24688,4,Female,<=5,Saudi,no,Child not at nursery,No License
2243701,22437,1,Male,58,Saudi,Yes,Retired,Car Only
2243702,22437,2,Female,45,Saudi,Yes,House Person,No License
2243703,22437,3,Male,27,Saudi,Yes,Full Time Employed,Car Only
2401801,24018,1,Male,65,Saudi,Yes,Retired,Car Only
2401802,24018,2,Female,62,Saudi,For a reason to get out,Unemployed,No License
2222601,22226,1,Male,75,Saudi,Yes,Retired,Car Only
2222602,22226,2,Female,50,Saudi,Yes,Unemployed,No License
2222603,22226,3,Male,35,Saudi,Yes,Full Time Employed,Car Only
2222604,22226,4,Male,30,Saudi,did not come out,Unemployed,Car Only
2222605,22226,5,Male,30,Saudi,Yes,Full Time Employed,Car Only
2222606,22226,6,Female,25,Saudi,Yes,Full Time Employed,Car Only
2222607,22226,7,Male,23,Saudi,Yes,Full Time Employed,Car Only
2222608,22226,8,Male,18,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2222609,22226,9,Female,32,Saudi,she did not go out,Full Time Employed,No License
2222610,22226,10,Male,15,Saudi,Yes,Student - Primary School,No License
2382801,23828,1,Male,65,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2382802,23828,2,Female,45,Non-Saudi Arab,Yes,Unemployed,Car Only
2382803,23828,3,Male,32,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2382804,23828,4,Female,30,Non-Saudi Arab,Yes,Unemployed,Car Only
2382805,23828,5,Female,27,Non-Saudi Arab,Yes,House Person,Car Only
2382806,23828,6,Female,25,Non-Saudi Arab,Yes,House Person,Car Only
2382807,23828,7,Female,15,Non-Saudi Arab,Yes,Student - Primary School,No License
2086801,20868,1,Male,60,Saudi,Yes,Retired,Car Only
2086802,20868,2,Female,50,Saudi,Yes,Unemployed,No License
2086803,20868,3,Female,30,Saudi,Yes,Full Time Employed,Car Only
2086804,20868,4,Female,7,Saudi,Yes,Student - Elementary School,No License
2051701,20517,1,Male,35,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2051702,20517,2,Female,30,Non-Saudi Arab,Yes,House Person,No License
2051703,20517,3,Male,7,Non-Saudi Arab,Yes,Student - Elementary School,No License
2051704,20517,4,Female,2,Non-Saudi Arab,2 year old,Child not at nursery,No License
2415101,24151,1,Male,65-74,Saudi,Yes,Retired,Car Only
2415102,24151,2,Female,55-64,Saudi,nothing,House Person,No License
2415103,24151,3,Female,34-44,Saudi,Yes,Student - University: Full-Time (does not work),No License
2415104,24151,4,Male,06-Nov,Saudi,Yes,Student - Elementary School,No License
2049501,20495,1,Male,59,Saudi,Yes,Retired,Car Only
2049502,20495,2,Male,35,Saudi,Yes,Full Time Employed,Car Only
2049503,20495,3,Female,34,Saudi,Yes,Full Time Employed,Car Only
2049504,20495,4,Male,28,Saudi,Traveling,Full Time Employed,Car Only
2423601,24236,1,Male,44,Saudi,Yes,Full Time Employed,Car Only
2423602,24236,2,Female,35,Saudi,nothing,House Person,No License
2423603,24236,3,Male,19,Saudi,Yes,Full Time Employed,No License
2423604,24236,4,Female,8,Saudi,nothing,Student - Elementary School,No License
2292001,22920,1,Male,30,Saudi,Yes,Full Time Employed,Car Only
2292002,22920,2,Female,32,Saudi,Yes,Unemployed,No License
2292003,22920,3,Female,10,Saudi,Yes,Student - Elementary School,No License
2292004,22920,4,Male,8,Saudi,Yes,Student - Elementary School,No License
2292005,22920,5,Male,5,Saudi,Yes,Child not at nursery,No License
2366401,23664,1,Male,45-54,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2080801,20808,1,Male,38,Saudi,Yes,Full Time Employed,Car Only
2080802,20808,2,Female,34,Saudi,Yes,Full Time Employed,Car Only
2080803,20808,3,Female,35,Non-Saudi Non-Arab,housemaid,House Person,No License
2080804,20808,4,Male,4,Saudi,no,Child not at nursery,No License
2080805,20808,5,Female,2,Saudi,no,Child not at nursery,No License
2121001,21210,1,Male,35,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2121002,21210,2,Male,25,Non-Saudi Arab,Yes,Full Time Employed,No License
2349801,23498,1,Male,54,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2349802,23498,2,Female,39,Non-Saudi Non-Arab,There is no reason to go out,House Person,No License
2349803,23498,3,Male,27,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2349804,23498,4,Male,25,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2324101,23241,1,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2324102,23241,2,Female,18-24,Saudi,Yes,Unemployed,No License
2079501,20795,1,Male,40,Saudi,Yes,Full Time Employed,Car Only
2079502,20795,2,Female,39,Saudi,Tired of hot and did not leave the house,House Person,No License
2079503,20795,3,Male,19,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2079504,20795,4,Female,7,Saudi,Yes,Student - Elementary School,No License
2079505,20795,5,Male,6,Saudi,Yes,Student - Elementary School,No License
2452501,24525,1,Male,43,Non-Saudi Arab,Yes,Full Time Employed,Heavy Goods Vehicle
2452502,24525,2,Male,41,Non-Saudi Arab,Yes,Full Time Employed,No License
2452503,24525,3,Male,39,Non-Saudi Arab,nothing,Full Time Employed,No License
2396001,23960,1,Male,34,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2396002,23960,2,Female,29,Non-Saudi Arab,Yes,House Person,No License
2396003,23960,3,Male,4,Non-Saudi Arab,no,Child not at nursery,No License
2003601,20036,1,Male,53,Saudi,Yes,Full Time Employed,Car Only
2003602,20036,2,Female,48,Saudi,Yes,House Person,No License
2003603,20036,3,Female,24,Saudi,Yes,Full Time Employed,Car Only
2003604,20036,4,Male,17,Saudi,Yes,Student - Secondary School,No License
2003605,20036,5,Female,14,Saudi,Yes,Student - Primary School,No License
2379501,23795,1,Male,45,Saudi,Yes,Full Time Employed,Car Only
2379502,23795,2,Female,35,Saudi,Yes,House Person,No License
2379503,23795,3,Female,Dec-15,Saudi,Yes,Student - Primary School,No License
2379504,23795,4,Female,Dec-15,Saudi,Yes,Student - Elementary School,No License
2379505,23795,5,Male,Dec-15,Saudi,Yes,Student - Elementary School,No License
2379506,23795,6,Male,06-Nov,Saudi,Yes,Student - Elementary School,No License
2379507,23795,7,Male,<=5,Saudi,She is young,Child not at nursery,No License
2379508,23795,8,Female,<=5,Saudi,small,Child not at nursery,No License
2411301,24113,1,Male,48,Saudi,Yes,Full Time Employed,Car Only
2411302,24113,2,Female,43,Saudi,Yes,Full Time Employed,Car Only
2411303,24113,3,Female,20,Saudi,Yes,Student - University: Full-Time (does not work),No License
2411304,24113,4,Male,18,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2411305,24113,5,Male,17,Saudi,Yes,Student - Secondary School,No License
2411306,24113,6,Female,14,Saudi,Yes,Student - Primary School,No License
2411307,24113,7,Male,13,Saudi,Yes,Student - Primary School,No License
2411308,24113,8,Male,9,Saudi,Yes,Student - Elementary School,No License
2261901,22619,1,Male,45-54,Saudi,Yes,Refused to Answer,Car Only
2261902,22619,2,Female,34-44,Saudi,Yes,Unemployed,No License
2261903,22619,3,Female,55-64,Non-Saudi Non-Arab,maid,House Person,No License
2261904,22619,4,Female,06-Nov,Saudi,Yes,Student - Elementary School,No License
2261905,22619,5,Male,06-Nov,Saudi,Yes,Student - Elementary School,No License
2149801,21498,1,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2149802,21498,2,Female,25-34,Saudi,Yes,House Person,No License
2149803,21498,3,Male,<=5,Saudi,no,Child not at nursery,No License
2243801,22438,1,Male,35,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2243802,22438,2,Male,32,Non-Saudi Arab,Yes,Full Time Employed,No License
2366201,23662,1,Male,35,Non-Saudi Non-Arab,Yes,Full Time Employed,Light Goods Vehicle
2366202,23662,2,Male,32,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2440601,24406,1,Male,38,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2440602,24406,2,Male,19,Non-Saudi Non-Arab,Yes,Full Time Employed,No License
2440603,24406,3,Male,40,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2423801,24238,1,Male,38,Saudi,Yes,Full Time Employed,Car Only
2423802,24238,2,Female,33,Saudi,Yes,House Person,No License
2423803,24238,3,Female,5,Saudi,child at home,Child not at nursery,No License
2423804,24238,4,Male,3,Saudi,child at home,Child not at nursery,No License
2194901,21949,1,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2194902,21949,2,Female,25-34,Saudi,Yes,House Person,Car Only
2306201,23062,1,Female,34-44,Non-Saudi Non-Arab,Yes,Self-Employed (own business),No License
2306202,23062,2,Male,34-44,Non-Saudi Non-Arab,Yes,Unemployed,Car Only
2306203,23062,3,Male,5,Non-Saudi Non-Arab,no,Child not at nursery,No License
2218501,22185,1,Male,35,Saudi,Yes,Full Time Employed,Car Only
2218502,22185,2,Female,25-34,Saudi,Yes,House Person,No License
2218503,22185,3,Male,7,Saudi,Yes,Student - Elementary School,No License
2218504,22185,4,Female,5,Saudi,no,Child not at nursery,No License
2090001,20900,1,Male,48,Saudi,Yes,Retired,Car Only
2090002,20900,2,Female,45,Saudi,Yes,Unemployed,No License
2090003,20900,3,Male,26,Saudi,Yes,Unemployed,Car Only
2090004,20900,4,Male,28,Saudi,nothing,Unemployed,Car Only
2090005,20900,5,Female,27,Saudi,Yes,Full Time Employed,No License
2090006,20900,6,Male,12,Saudi,Yes,Student - Elementary School,No License
2090007,20900,7,Male,10,Saudi,Yes,Student - Elementary School,No License
2070701,20707,1,Male,48,Saudi,Yes,Full Time Employed,Car Only
2070702,20707,2,Female,45,Non-Saudi Arab,Yes,Unemployed,No License
2070703,20707,3,Male,26,Saudi,Yes,Full Time Employed,Car Only
2070704,20707,4,Female,4,Saudi,No reason to get out,Child not at nursery,No License
2411901,24119,1,Male,35,Saudi,Yes,Full Time Employed,Car Only
2411902,24119,2,Female,28,Saudi,Yes,House Person,Car Only
2411903,24119,3,Male,9,Saudi,Yes,Student - Elementary School,No License
2411904,24119,4,Male,7,Saudi,Yes,Student - Elementary School,No License
2411905,24119,5,Female,4,Saudi,There is no grandfather,Child not at nursery,No License
2446701,24467,1,Male,60,Saudi,Yes,Retired,Car Only
2446702,24467,2,Female,50,Saudi,nothing,House Person,No License
2446703,24467,3,Female,20,Saudi,Yes,Student - College: Full-Time (does not work),No License
2446704,24467,4,Male,16,Saudi,week reviews,Student - Secondary School,No License
2342101,23421,1,Male,25-34,Saudi,Yes,Full Time Employed,Car Only
2401901,24019,1,Male,45,Saudi,Yes,Full Time Employed,Car Only
2401902,24019,2,Female,43,Saudi,the disease,Unemployed,No License
2401903,24019,3,Male,21,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2051901,20519,1,Male,45,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2051902,20519,2,Female,35,Non-Saudi Arab,Yes,House Person,No License
2051903,20519,3,Male,9,Non-Saudi Arab,Yes,Student - Elementary School,No License
2051904,20519,4,Female,7,Non-Saudi Arab,Yes,Student - Elementary School,No License
2423901,24239,1,Male,35,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2423902,24239,2,Female,30,Non-Saudi Arab,nothing,House Person,No License
2151201,21512,1,Male,55-64,Saudi,Yes,Refused to Answer,Car Only
2151202,21512,2,Male,55-64,Saudi,He can't move,Unemployed,No License
2049801,20498,1,Male,43,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2049802,20498,2,Female,33,Non-Saudi Arab,Yes,Unemployed,Car Only
2049803,20498,3,Male,10,Non-Saudi Arab,Yes,Student - Elementary School,No License
2049804,20498,4,Female,7,Non-Saudi Arab,Yes,Student - Elementary School,No License
2079601,20796,1,Male,27,Saudi,Yes,Full Time Employed,Car Only
2079602,20796,2,Female,26,Saudi,Yes,House Person,No License
2411401,24114,1,Male,53,Saudi,There is no reason,Retired,Car Only
2411402,24114,2,Female,49,Saudi,There is no reason,House Person,No License
2411403,24114,3,Male,28,Saudi,Yes,Full Time Employed,Car Only
2411404,24114,4,Female,21,Saudi,Yes,Student - University: Full-Time (does not work),No License
2411405,24114,5,Female,18,Saudi,Yes,Student - College: Full-Time (does not work),No License
2411406,24114,6,Male,11,Saudi,Yes,Student - Elementary School,No License
2411407,24114,7,Male,8,Saudi,Yes,Student - Elementary School,No License
2411408,24114,8,Female,5,Saudi,nothing,Child not at nursery,No License
2222401,22224,1,Male,69,Saudi,Yes,Retired,Car Only
2222402,22224,2,Female,45,Saudi,Yes,Unemployed,Car Only
2222403,22224,3,Male,23,Saudi,Yes,Full Time Employed,Car Only
2222404,22224,4,Male,18,Saudi,did not come out,Unemployed,Car Only
2222405,22224,5,Female,17,Saudi,Yes,Student - Secondary School,No License
